post_id,year,price,beds,word
pre2013_65437,2012,2024,1,beautiful
pre2013_136739,2005,1295,NA,beautiful
pre2013_106757,2004,1250,2,beautiful
4956668195,2015,4800,3,beautiful
pre2013_52600,2012,1678,1,beautiful
pre2013_55935,2012,5800,3,beautiful
pre2013_57895,2012,3200,3,beautiful
pre2013_158366,2006,2900,1,beautiful
pre2013_42989,2011,5800,3,beautiful
pre2013_135926,2005,1395,2,beautiful
pre2013_38221,2011,1395,1,beautiful
pre2013_149466,2006,1390,1,beautiful
pre2013_138596,2005,1290,2,beautiful
pre2013_103457,2004,2500,3,beautiful
pre2013_110807,2004,2500,3,beautiful
pre2013_116441,2001,1795,2,beautiful
pre2013_109730,2004,1265,2,beautiful
pre2013_128860,2004,1900,NA,beautiful
pre2013_123916,2004,2000,3,beautiful
pre2013_150075,2006,1850,2,beautiful
pre2013_136483,2005,1180,1,beautiful
pre2013_10549,2012,5800,3,beautiful
pre2013_27534,2007,1799,1,beautiful
5291288464,2015,2685,2,beautiful
pre2013_105592,2004,1195,2,beautiful
pre2013_158131,2006,1390,1,beautiful
pre2013_105701,2004,2500,4,beautiful
pre2013_103648,2004,1295,2,beautiful
pre2013_110892,2004,2150,2,beautiful
pre2013_104037,2004,1195,2,beautiful
pre2013_9998,2011,1450,1,beautiful
pre2013_105587,2004,750,0,beautiful
pre2013_78400,2008,1895,2,beautiful
pre2013_12414,2011,2100,3,beautiful
pre2013_78879,2008,2700,2,beautiful
pre2013_58591,2012,5800,3,beautiful
pre2013_138356,2005,2475,3,beautiful
pre2013_45729,2011,5500,3,beautiful
pre2013_107328,2004,1180,1,beautiful
pre2013_105589,2004,895,1,beautiful
pre2013_55649,2012,2450,3,beautiful
4924570738,2015,2133,NA,beautiful
pre2013_44968,2011,1650,2,beautiful
pre2013_31699,2011,1499,1,beautiful
pre2013_38214,2011,1545,1,beautiful
pre2013_41313,2011,1150,1,beautiful
pre2013_105588,2004,2350,3,beautiful
6433080266,2017,2395,1,beautiful
pre2013_117343,2002,750,0,beautiful
pre2013_103747,2004,1045,1,beautiful
pre2013_38228,2011,1995,2,beautiful
pre2013_84436,2001,1290,1,beautiful
pre2013_106786,2004,2200,3,beautiful
4659326893,2014,1450,0,beautiful
pre2013_29191,2011,1159,1,beautiful
pre2013_122577,2004,1180,1,beautiful
pre2013_109130,2004,1390,2,beautiful
4845206606,2015,2998,2,beautiful
pre2013_119596,2004,2350,3,beautiful
pre2013_48208,2012,1346,0,beautiful
pre2013_49378,2012,5500,3,beautiful
pre2013_104030,2004,2350,3,beautiful
pre2013_145070,2005,3150,3,beautiful
4845142818,2015,2250,1,beautiful
pre2013_124420,2004,1390,2,beautiful
pre2013_111633,2004,1050,1,beautiful
pre2013_105673,2004,2800,4,beautiful
pre2013_109193,2004,1285,2,beautiful
pre2013_106848,2004,2750,4,beautiful
6531214847,2018,3950,2,beautiful
4656234561,2014,1885,1,beautiful
pre2013_110649,2004,2150,2,beautiful
pre2013_106947,2004,750,0,beautiful
pre2013_103520,2004,2000,2,beautiful
pre2013_40930,2011,1970,1,beautiful
pre2013_106678,2004,895,1,beautiful
pre2013_121510,2004,2200,3,beautiful
pre2013_59795,2012,3100,3,beautiful
pre2013_110159,2004,2100,2,beautiful
4829431627,2015,2050,1,beautiful
pre2013_119589,2004,1195,2,beautiful
pre2013_109325,2004,860,NA,beautiful
pre2013_150383,2006,3350,3,beautiful
pre2013_150383,2006,3350,3,beautiful
pre2013_149721,2006,1390,1,beautiful
pre2013_119593,2004,895,1,beautiful
pre2013_109324,2004,995,1,beautiful
pre2013_105190,2004,1195,2,beautiful
4855523590,2015,2250,1,beautiful
pre2013_132235,2004,1250,1,beautiful
pre2013_106159,2004,2800,4,beautiful
pre2013_106673,2004,750,0,beautiful
pre2013_105194,2004,2350,3,beautiful
pre2013_111826,2004,1250,1,beautiful
pre2013_106675,2004,1195,2,beautiful
pre2013_12602,2012,2150,2,beautiful
pre2013_154243,2007,975,1,beautiful
pre2013_106674,2004,2350,3,beautiful
pre2013_5108,2007,650,NA,beautiful
pre2013_83667,2006,750,0,beautiful
pre2013_157302,2006,750,0,beautiful
pre2013_157556,2006,950,NA,beautiful
pre2013_152039,2006,1185,1,beautiful
5443983944,2016,7495,6,beautiful
